id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
18713307,柏岭泉小院～忘得见长城的花园小院,67308995,海臣,密云县 / Miyun,40.6633,117.35259,Entire home/apt,5598,1,1,0.03,1,360,0
18778928,西山里-山间别墅，团建聚会亲子轰趴，专业KTV台球麻将露天冰啤烧烤，全程高速近郊一小时，初夏清凉之选,130692348,红伟,昌平区,40.12772,116.02725,Entire home/apt,6286,1,14,0.32,1,27,3
18801952,古北水镇 【花筑·遇见你】第一排观景美式叠墅【水镇最佳观景房】,130262828,Jason,密云县 / Miyun,40.64698,117.26793,Entire home/apt,1646,1,65,1.23,1,362,4
18856251,延庆世园会、古崖居、松山、玉渡山、龙庆峡、世葡园、八达岭、野鸭湖、康西草原的乡间别苑民宿,131363339,李红霞,延庆县 / Yanqing,40.51085,115.9133,Entire home/apt,2194,1,0,0.0,1,179,0
18985163,昌平【毛豆豆小院】近八达岭奥莱、乐多港,50089997,Amy,昌平区,40.22269,116.16672,Entire home/apt,410,1,15,0.29,1,338,0
18987545,未央小筑-怀柔圣泉山景区附近，独立院落环境优雅，厨卫用品齐全，备超大露台。小院近红螺寺和雁栖湖景区。,132453345,丹,怀柔区 / Huairou,40.35791,116.57422,Entire home/apt,3037,1,19,0.36,1,270,1
19018964,[密云水库上游|云蒙山边儿整套小院]-适合10-20人，临近云蒙山、黑龙潭、清凉谷等景区,78044723,霖,密云县 / Miyun,40.54939,116.81793,Private room,1897,1,2,0.04,1,65,0
19079895,Yun Ju Courtyard Apartment,27593963,Beiling,房山区,39.59862,115.77247,Entire home/apt,2780,2,0,0.0,4,360,0
19089155,雁栖湖慕田峪长城不夜谷--整院出租,133323536,惠英,怀柔区 / Huairou,40.46483,116.60072,Entire home/apt,7694,1,2,0.04,2,263,1
19143517,清乐居,129639654,清乐居,平谷区 / Pinggu,40.26029,117.25196,Private room,6500,1,1,0.02,1,365,0
19208171,每日消毒 免费停车 慕田峪长城安静小院 庭筑,81857010,萌,怀柔区 / Huairou,40.38575,116.55792,Private room,2659,1,1,0.65,12,359,1
19262691,刘家小院，聚会旅游度假首选，可做饭,134875637,琳,门头沟区 / Mentougou,39.98491,115.98453,Entire home/apt,998,1,3,0.06,1,338,1
19364573,桃溪小院～唯美梦幻之地,135736523,惠娟,房山区,39.6419,115.59131,Entire home/apt,8229,1,1,0.23,4,365,1
19389334,【半日闲】平谷南部半山居小院儿,115127016,自己,平谷区 / Pinggu,40.10711,117.19087,Entire home/apt,2331,1,3,0.07,1,174,0
19464389,Beijing Badaling Great Wall Cao's Courtyard(Suit),63217473,Xu,延庆县 / Yanqing,40.36589,115.99501,Private room,994,1,6,0.12,5,362,0
19467952,Yun Ju Courtyard Apartment,27593963,Beiling,房山区,39.59734,115.76946,Entire home/apt,2780,1,0,0.0,4,360,0
19509125,七姑娘-乡椿老院.慕田峪.红螺寺.ktv私密庭院,99756248,七七,怀柔区 / Huairou,40.37556,116.54389,Entire home/apt,2830,1,1,0.11,3,270,1
19594639,北京维摩园苏州园林独院独栋超豪华别墅,115155510,亮,怀柔区 / Huairou,40.28925,116.63213,Entire home/apt,5394,1,1,0.04,1,79,0
19770123,近环球影城花庄地铁乡村小墅烧烤做饭桌游行李寄存,139552122,银辉,通州区 / Tongzhou,39.85918,116.70941,Entire home/apt,1731,1,5,0.12,4,117,2
19770124,乡村小墅内两室一厅一卫#1 环球影城花庄地铁边免费接送寄存行李,139552122,银辉,通州区 / Tongzhou,39.85615,116.70835,Private room,630,1,1,1.0,4,71,1
19772220,花汀树长城山景套房,80373198,Cong,怀柔区 / Huairou,40.47005,116.48011,Private room,1694,1,3,0.06,1,82,1
19830773,乡村小墅内独立房间#2环球影城花庄地铁边免费接送行李寄存,139552122,银辉,通州区 / Tongzhou,39.85817,116.70867,Private room,298,1,0,0.0,4,23,0
19830832,乡村小墅内一室一厅一卫#3 环球影城花庄地铁边免费接送寄存行李,139552122,银辉,通州区 / Tongzhou,39.85852,116.70692,Private room,537,1,1,0.02,4,69,0
19973943,北京云上·隐居民宿-流年三人间,141479225,跃,房山区,39.64058,115.59034,Private room,666,1,1,0.02,3,337,0
19974232,北京云上·隐居民宿-乔木(四人间),141479225,跃,房山区,39.63883,115.59028,Private room,368,1,0,0.0,3,337,0
20002455,亲子家庭旅游/烧烤团建聚会/轰趴独栋别墅/发呆休闲/4房2厅2卫/避暑露营滑雪登山/独立庭院,141957141,山,密云县 / Miyun,40.33771,116.84067,Entire home/apt,1688,1,30,0.59,1,63,0
20128550,灵山月隐 | 隐在密云古北水镇雾灵山间,141953666,灵山月隐,密云县 / Miyun,40.66239,117.35304,Entire home/apt,6800,1,1,0.02,1,360,0
20164460,Chez Ina & Jasee（欢乐里.胖松家.大床房）,143501938,松,密云县 / Miyun,40.68922,117.1521,Private room,345,1,3,0.06,10,89,0
20181287,国奥乡居箭扣蜜家，慕田峪，箭扣，响水湖，红螺寺，卧佛山，独卫有空调，可做饭可烧烤火锅，可住8人左右,143674767,陈,昌平区,40.32636,116.39676,Entire home/apt,4088,1,12,0.24,3,359,4
20185886,十渡蹦极乐谷银滩孤山寨整租两居,81428114,嘉,房山区,39.63323,115.64639,Private room,770,1,0,0.0,4,350,0
20197524,悠悠山谷中的涵碧山房,46341876,Ruifeng,昌平区,40.28552,116.02535,Entire home/apt,2000,2,0,0.0,1,63,0
20213067,雁栖湖慕田峪长城不夜谷--标准间C,133323536,惠英,怀柔区 / Huairou,40.454,116.59349,Private room,837,1,0,0.0,2,262,0
20236416,【后院驿站 · 無白】 :复式双层\ 入户花园\独立厨房\文艺时尚,103164795,鹏,昌平区,40.12554,116.11874,Private room,1247,1,4,0.08,7,357,0
20237174,【后院驿站·前白】 :复式双层\ 入户花园\开放厨房\独立浴缸,103164795,鹏,昌平区,40.1267,116.11794,Entire home/apt,1247,1,4,0.11,7,357,0
20245182,乡村别墅小院，郊游民宿，休闲烧烤，空气清新。,144288755,Xiaofei,怀柔区 / Huairou,40.73404,116.63071,Entire home/apt,3280,1,1,0.04,1,85,0
20269939,古北水镇天然氧吧青山明月居之无忧,144512796,青山明月,密云县 / Miyun,40.68707,117.15635,Entire home/apt,1800,1,5,0.18,4,332,0
20276780,【后院驿站·后白】复式客房\山景露台\入户花园\温馨厨房,103164795,鹏,昌平区,40.12645,116.11613,Entire home/apt,1247,1,10,0.21,7,172,1
20293912,香榭山庄别墅,144765511,秉茹,昌平区,40.23691,116.369,Entire home/apt,5257,1,1,0.07,3,359,0
20310816,密秘空间,144889065,超,密云县 / Miyun,40.53841,116.82422,Entire home/apt,3000,1,3,0.06,1,338,1
